GEO_ID,state,county,year,Median Annual Household Income,Median Monthly Housing Costs,Median Value for Owner Occupied Housing Units,Percent White Collar,Percent College Graduate,geo11
1400000US17031440201,Illinois,Cook County,2018,26508,874,168600,0.16433941997851773,0.23588709677419356,17031440201
1400000US17031440202,Illinois,Cook County,2018,30100,836,162900,0.3484735666418466,0.3850267379679144,17031440202
1400000US17031460301,Illinois,Cook County,2018,35845,1026,123900,0.16835871404399322,0.18856065367693275,17031460301
1400000US17031460302,Illinois,Cook County,2018,27391,868,114400,0.2310838445807771,0.17546583850931677,17031460302
1400000US17031490901,Illinois,Cook County,2018,38693,898,117600,0.2247557003257329,0.21907538525614328,17031490901
1400000US17031490902,Illinois,Cook County,2018,45273,945,146900,0.2990373044524669,0.3450031826861871,17031490902
1400000US17031530501,Illinois,Cook County,2018,44436,892,121500,0.2545235223160434,0.2638888888888889,17031530501
1400000US17031530502,Illinois,Cook County,2018,44744,1114,112600,0.16237942122186494,0.2339622641509434,17031530502
1400000US17031530503,Illinois,Cook County,2018,39231,1132,113900,0.27820636451301833,0.2592791823561054,17031530503
1400000US17031540101,Illinois,Cook County,2018,14066,376,53800,0.10135746606334842,0.08237145855194124,17031540101
1400000US17031650301,Illinois,Cook County,2018,57875,1296,197600,0.24884405212274066,0.22384428223844283,17031650301
1400000US17031540102,Illinois,Cook County,2018,13585,458,81500,0.08060453400503778,0.15524193548387097,17031540102
1400000US17031580501,Illinois,Cook County,2018,39706,856,149800,0.09892170651664323,0.12385165022116366,17031580501
1400000US17031580502,Illinois,Cook County,2018,40233,881,168200,0.19473480449090205,0.14447271699180095,17031580502
1400000US17031650302,Illinois,Cook County,2018,47321,1203,155400,0.15257628814407204,0.1490272373540856,17031650302
1400000US17031660301,Illinois,Cook County,2018,23976,764,157000,0.0931098696461825,0.07380952380952381,17031660301
1400000US17031660302,Illinois,Cook County,2018,32880,930,123100,0.08618199325950891,0.10812443370582905,17031660302
1400000US17031700301,Illinois,Cook County,2018,67765,1210,171400,0.14038800705467372,0.20514800514800516,17031700301
1400000US17031700302,Illinois,Cook County,2018,68488,1345,213300,0.275875486381323,0.29284570208222105,17031700302
1400000US17031700401,Illinois,Cook County,2018,68241,1402,152100,0.248769281260256,0.3178553104155977,17031700401
1400000US17031700402,Illinois,Cook County,2018,68935,1436,164200,0.3462377317339149,0.32228915662650603,17031700402
1400000US17031700501,Illinois,Cook County,2018,66886,1379,169400,0.2399893927340228,0.3721381451299961,17031700501
1400000US17031700502,Illinois,Cook County,2018,95750,1511,180000,0.3222713864306785,0.41614066726780885,17031700502
1400000US17031730201,Illinois,Cook County,2018,27500,907,153200,0.28935965334617236,0.29650730740648995,17031730201
1400000US17031730202,Illinois,Cook County,2018,52046,1232,158600,0.2803935347856641,0.33585190782017377,17031730202
1400000US17031760801,Illinois,Cook County,2018,60291,1132,124400,0.3957597173144876,0.603437876960193,17031760801
1400000US17031760802,Illinois,Cook County,2018,52188,998,314600,0.3330457290767903,0.39715267550319094,17031760802
1400000US17031760803,Illinois,Cook County,2018,41342,1020,159300,0.20606455820019562,0.35678718337302445,17031760803
1400000US17031770201,Illinois,Cook County,2018,62853,1226,265300,0.446129541864139,0.5190668461193361,17031770201
1400000US17031770202,Illinois,Cook County,2018,65514,989,223200,0.399097065462754,0.35433715220949263,17031770202
1400000US17031770601,Illinois,Cook County,2018,72946,1519,264600,0.3578154425612053,0.43351910828025475,17031770601
1400000US17031140301,Illinois,Cook County,2018,46534,1151,224000,0.20944741532976827,0.3494401885680613,17031140301
1400000US17031140302,Illinois,Cook County,2018,72713,1227,278500,0.4171867498799808,0.4402430790006752,17031140302
1400000US17031140601,Illinois,Cook County,2018,48077,1099,302000,0.22496371552975328,0.2819047619047619,17031140601
1400000US17031140602,Illinois,Cook County,2018,51982,1193,274700,0.28592647604901594,0.3486443381180223,17031140602
1400000US17031140701,Illinois,Cook County,2018,63571,1291,273900,0.3733486502010339,0.3908872901678657,17031140701
1400000US17031140702,Illinois,Cook County,2018,58824,1108,328300,0.331795906601326,0.35515825078521385,17031140702
1400000US17031150401,Illinois,Cook County,2018,64225,1101,270600,0.32584712371946417,0.38610798650168726,17031150401
1400000US17031150402,Illinois,Cook County,2018,76017,1288,303400,0.24282888229475766,0.4,17031150402
